"ORIGIN","DEST",
"06A","A43",
"06A","A43",
"1G4","BLD",
"1G4","GCN",
"1G4","BLD",
"1TX","FLL",
"7AK","DUT",
"7AK","CDB",
"7AK","KQA",
"7AK","AKB",
"7AK","KQA",
"7AK","KQA",
"7AK","DUT",
"A1K","SCC",
"A20","ANC",
"A20","SCC",
"A26","FAI",
"A27","FAI",
"A43","DGB",
"A43","06A",
"A43","KPY",
"A43","KKB",
"A43","KKB",
"A43","KOY",
"A43","A50",
"A43","AOS",
"A43","EHR",
"A43","A43",
"A43","KKB",
"A43","KOY",
"A43","KKB",
"A43","DGB",
"A50","A43",
"ABE","ORD",
"ABE","IND",
"ABE","MEM",
"ABE","PGD",
"ABE","SFB",
"ABE","BNA",
"ABE","PIE",
"ABE","FLL",
"ABE","SRQ",
"ABE","DTW",
"ABE","CLE",
"ABE","DTW",
"ABE","LAL",
"ABE","AFW",
"ABE","SMF",
"ABE","RFD",
"ABE","LAL",
"ABE","AFW",
"ABE","ORD",
"ABE","DTW",
"ABE","ATL",
"ABE","DTW",
"ABE","DTW",
"ABE","CLT",
"ABE","CLT",
"ABE","IAD",
"ABI","LBB",
"ABI","IAH",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABL","OTZ",
"ABL","SHG",
"ABL","OTZ",
"ABL","WLK",
"ABL","OBU",
"ABL","OTZ",
"ABL","OTZ",
"ABL","OTZ",
"ABL","RDB",
"ABL","RLU",
"ABL","ORV",
"ABQ","DEN",
"ABQ","LAS",
"ABQ","OAK",
"ABQ","BWI",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","LAX",
"ABQ","PHX",
"ABQ","MDW",
"ABQ","SAT",
"ABQ","DEN",
"ABQ","LAS",
"ABQ","SAN",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","PHX",
"ABQ","AUS",
"ABQ","MDW",
"ABQ","MCI",
"ABQ","CNM",
"ABQ","DRO",
"ABQ","ABQ",
"ABQ","FMN",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","MEM",
"ABQ","DFW",
"ABQ","DRO",
"ABQ","FMN",
"ABQ","LBB",
"ABQ","MEM",
"ABQ","LAS",
"ABQ","AUS",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","SLC",
"ABQ","LAX",
"ABQ","SFO",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","SFO",
"ABQ","DFW",
"ABQ","PHX",
"ABQ","TUS",
"ABQ","ONT",
"ABQ","PHX",
"ABQ","ELP",
"ABQ","ONT",
"ABQ","PHX",
"ABQ","SDF",
"ABQ","ELP",
"ABQ","PHX",
"ABQ","BUF",
"ABQ","JFK",
"ABQ","SVC",
"ABQ","LRD",
"ABQ","IAH",
"ABQ","DFW",
"ABQ","ORD",
"ABQ","IAH",
"ABQ","DFW",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","IAH",
"ABQ","AMA",
"ABQ","PDX",
"ABQ","ATL",
"ABQ","IAH",
"ABQ","DFW",
"ABR","PIR",
"ABR","FSD",
"ABR","MSP",
"ABR","MSP",
"ABY","CAE",
"ABY","SDF",
"ABY","MCO",
"ABY","PBI",
"ABY","MSY",
"ABY","SDF",
"ABY","PNS",
"ABY","ATL",
"ACK","PVD",
"ACK","JFK",
"ACK","EWB",
"ACK","HYA",
"ACK","HPN",
"ACK","BOS",
"ACK","MVY",
"ACK","JFK",
"ACK","HYA",
"ACK","HPN",
"ACK","TEB",
"ACT","DFW",
"ACT","DFW",
"ACT","DFW",
"ACT","IAH",
"ACT","MHK",
"ACT","FOE",
"ACT","IAH",
"ACT","MHK",
"ACT","LBB",
"ACT","SWO",
"ACT","DSM",
"ACV","SMF",
"ACV","UKI",
"ACV","LAX",
"ACV","SFO",
"ACV","SFO",
"ACY","FRG",
"ACY","TPA",
"ACY","FLL",
"ACY","RSW",
"ACY","MCO",
"ACY","TPA",
"ACY","MYR",
"ACY","RSW",
"ACY","MCO",
"ACY","FLL",
"ACY","RSW",
"ACY","PBI",
"ACY","TPA",
"ACY","MYR",
"ACY","FLL",
"ACY","RSW",
"ACY","MCO",
"ACY","PBI",
"ACY","SWF",
"ADK","CDB",
"ADK","ANC",
"ADK","CDB",
"ADK","ANC",
"ADQ","ANC",
"ADQ","ANC",
"ADQ","ANC",
"ADQ","ADQ",
"ADQ","AKK",
"ADQ","AKK",
"ADQ","KLN",
"ADQ","KOZ",
"ADQ","OLH",
"ADQ","ORI",
"ADQ","AKK",
"ADQ","KLN",
"ADQ","KOZ",
"ADQ","KYK",
"ADQ","OLH",
"ADQ","ORI",
"ADQ","KOZ",
"ADQ","ORI",
"ADQ","ADQ",
"ADQ","AKK",
"ADQ","KLN",
"ADQ","KOZ",
"ADQ","KYK",
"ADQ","NNK",
"ADQ","OLH",
"ADQ","ORI",
"ADQ","ANC",
"ADQ","ANC",
"ADQ","ANC",
"ADQ","SEA",
"ADQ","SDP",
"ADQ","DUT",
"ADQ","ANC",
"ADS","HOU",
"ADS","SCE",
"ADS","CLL",
"ADS","ELP",
"ADS","BFI",
"ADS","LAF",
"ADS","MCI",
"ADW","IAD",
"AET","FAI",
"AET","BTT",
"AET","BTT",
"AET","HUS",
"AET","BRW",
"AET","SCC",
"AET","FAI",
"AET","BTT",
"AET","FAI",
"AET","HUS",
"AET","FAI",
"AEX","IAH",
"AEX","MSN",
"AEX","GRK",
"AEX","DFW",
"AEX","DFW",
"AEX","ATL",
"AEX","ATL",
"AEX","IAH",
"AEX","IAD",
"AFW","SBN",
"AFW","LBB",
"AFW","TUL",
"AFW","MAF",
"AFW","TUL",
"AFW","ORD",
"AFW","IAH",
"AFW","LBB",
"AFW","AUS",
"AFW","ELP",
"AFW","GSO",
"AFW","TPA",
"AFW","SLC",
"AFW","SAN",
"AFW","MSP",
"AFW","MSY",
"AFW","TUL",
"AFW","MCI",
"AFW","SAT",
"AFW","ELP",
"AFW","SMF",
"AFW","DEN",
"AFW","OAK",
"AFW","MEM",
"AFW","LAX",
"AFW","SJC",
"AFW","BUR",
"AFW","SEA",
"AFW","LAX",
"AFW","ANC",
"AFW","LBB",
"AFW","MAF",
"AFW","TUL",
"AFW","SHV",
"AFW","ILN",
"AFW","SFO",
"AFW","JFK",
"AFW","CVG",
"AFW","ABE",
"AFW","SEA",
"AFW","ILN",
"AFW","PHX",
"AFW","SFO",
"AFW","JFK",
"AFW","AEX",
"AFW","IAH",
"AFW","SFO",
"AFW","ONT",
"AFW","LAL",
"AFW","MSY",
"AFW","DFW",
"AFW","RIC",
"AGC","STL",
"AGC","APA",
"AGC","HOU",
"AGC","LRD",
"AGN","JNU",
"AGN","JNU",
"AGN","JNU",
"AGN","TKE",
"AGS","GPT",
"AGS","CLT",
"AGS","CLT",
"AGS","CLT",
"AGS","ATL",
"AGS","DFW",
"AHN","LEX",
"AHN","GNV",
"AHN","ATL",
"AIA","DEN",
"AIN","BRW",
"AIN","SCC",
"AIN","PHO",
"AIN","PIZ",
"AIN","BTT",
"AIN","ATK",
"AKB","DUT",
"AKI","BET",
"AKI","KWT",
"AKI","TLT",
"AKI","KKI",
"AKI","BET",
"AKI","KKI",
"AKI","ANI",
"AKI","TLT",
"AKI","BET",
"AKI","TLT",
"AKI","ANC",
"AKK","ADQ",
"AKK","PTH",
"AKK","OLH",
"AKK","ADQ",
"AKK","KLN",
"AKK","KYK",
"AKK","OLH",
"AKK","ADQ",
"AKN","ILI",
"AKN","ANC",
"AKN","CDB",
"AKN","HOM",
"AKN","PTH",
"AKN","ANC",
"AKN","DLG",
"AKN","IGG",
"AKN","EGX",
"AKN","EGX",
"AKN","DLG",
"AKN","IGG",
"AKN","EGX",
"AKN","ILI",
"AKN","ILI",
"AKN","KPV",
"AKN","PIP",
"AKN","CDB",
"AKN","DUT",
"AKN","ANC",
"AKN","KLL",
"AKN","PIP",
"AKN","UGS",
"AKN","WSN",
"AKN","KNW",
"AKN","AKN",
"AKN","DLG",
"AKN","KCG",
"AKN","KCL",
"AKN","KCQ",
"AKN","KLL",
"AKN","KPV",
"AKN","PIP",
"AKN","PTH",
"AKN","UGS",
"AKN","WSN",
"AKN","ENA",
"AKN","DLG",
"AKN","KNW",
"AKN","ANC",
"AKN","DLG",
"AKN","ILI",
"AKN","ANC",
"AKN","ANC",
"AKN","DLG",
"AKN","DUT",
"AKN","DUT",
"AKP","CXF",
"AKP","FAI",
"AKP","FAI",
"AKP","FAI",
"AKP","FAI",
"AKP","FAI",
"AKP","BTT",
"AKP","AET",
"AKP","CXF",
"AKP","BRW",
"AKP","FAI",
"AKP","BRW",
"ALB","ORD",
"ALB","BWI",
"ALB","MDW",
"ALB","MCO",
"ALB","TPA",
"ALB","DEN",
"ALB","BWI",
"ALB","FLL",
"ALB","MDW",
"ALB","MCO",
"ALB","BDL",
"ALB","MCO",
"ALB","EWR",
"ALB","MEM",
"ALB","PGD",
"ALB","PIE",
"ALB","ORD",
"ALB","CLE",
"ALB","DTW",
"ALB","SYR",
"ALB","PHL",
"ALB","BDL",
"ALB","SDF",
"ALB","MCO",
"ALB","FLL",
"ALB","MCO",
"ALB","DTW",
"ALB","ORD",
"ALB","CLT",
"ALB","DTW",
"ALB","ORD",
"ALB","DTW",
"ALB","ATL",
"ALB","DTW",
"ALB","DTW",
"ALB","EWR",
"ALB","IAD",
"ALB","ATL",
"ALB","PHL",
"ALB","ORD",
"ALB","PHL",
"ALB","DCA",
"ALB","MHT",
"ALB","ORD",
"ALO","EVV",
"ALO","MDH",
"ALO","ORD",
"ALS","DEN",
"ALW","SEA",
"ALW","HPN",
"ALZ","A43",
"ALZ","A43",
"AMA","DFW",
"AMA","DFW",
"AMA","DAL",
"AMA","DFW",
"AMA","IAH",
"AMA","ELP",
"AMA","DEN",
"AMA","LAS",
"AMA","DEN",
"AMA","DFW",
"ANC","CVG",
"ANC","ORD",
"ANC","LAX",
"ANC","LCK",
"ANC","JFK",
"ANC","CVG",
"ANC","ORD",
"ANC","LAX",
"ANC","ENA",
"ANC","HOM",
"ANC","FAI",
"ANC","TKJ",
"ANC","SNP",
